,PlotID,FieldID,Year,Treatment,PhosphorusTreatment,Relative Yield
113,23,Y8,2020,Low,3.4,37.83185596223155
114,23,Y8,2022,Low,3.4,1.9335717414956093
115,26,Y8,2018,High,10.1,-1.4063029242008651
116,26,Y8,2019,High,10.1,15.625237395679791
117,26,Y8,2020,High,10.1,19.38625584562319
118,26,Y8,2022,High,10.1,-6.6437606453042415
119,28,Y8,2018,High,10.1,7.796483209213306
120,28,Y8,2019,High,10.1,-8.693503887313883
121,28,Y8,2020,High,10.1,-29.5800836308028
122,3,16A,2018,Low,11.3,9.114358715648587
123,3,16A,2019,Low,11.3,35.89858684677018
124,3,16A,2020,Low,11.3,19.324994224904074
125,3,16A,2022,Low,11.3,6.464484045465227
126,3,SW16,2018,Low,9.0,-8.1862017768948
127,3,SW16,2019,Low,9.0,0.08984430013933117
128,3,SW16,2020,Low,9.0,9.929450049343515
129,3,SW16,2022,Low,9.0,19.56246961959296
130,3,Y10,2018,Medium,11.3,1.5719045658123119
131,3,Y10,2019,Medium,11.3,-2.8932743951594992
132,3,Y10,2020,Medium,11.3,4.267802518676136
133,3,Y10,2022,Medium,11.3,-4.448587248857363
134,4,6-12,2018,Medium,22.5,3.4575211061670714
135,4,6-12,2019,Medium,22.5,12.203225584017343
136,4,6-12,2020,Medium,22.5,20.28878048069372
137,4,6-12,2022,Medium,22.5,14.702084382992892
138,5,SW16,2018,High,27.0,0.6464825604364516
139,5,SW16,2019,High,27.0,1.4745992371133387
140,5,SW16,2020,High,27.0,44.447000933177684
141,5,SW16,2022,High,27.0,21.769302787138827
142,5,Y10,2018,Low,5.6,-1.2336242223496061
143,5,Y10,2019,Low,5.6,-8.298712808258461
144,5,Y10,2020,Low,5.6,6.54963913844284
145,5,Y10,2022,Low,5.6,11.232189236847828
146,5,Y8,2018,Low,3.4,-3.991569961628642
147,5,Y8,2019,Low,3.4,8.319106532961522
148,5,Y8,2020,Low,3.4,3.835165260009438
149,5,Y8,2022,Low,3.4,0.9500701283890756
150,6,16A,2018,High,33.8,17.976563058743526
151,6,16A,2019,High,33.8,64.11324581953646
152,6,16A,2020,High,33.8,-4.5209538310285735
153,6,16A,2022,High,33.8,9.74304981234423
154,6,6-12,2018,Low,16.9,-0.5926660093100666
155,6,6-12,2019,Low,16.9,5.116142765284037
156,6,6-12,2020,Low,16.9,15.48266281708693
157,6,6-12,2022,Low,16.9,17.798137512441194
158,7,16A,2018,Medium,22.5,18.936050694287033
159,7,16A,2019,Medium,22.5,43.21349445361496
160,7,16A,2020,Medium,22.5,4.029000969730969
161,7,16A,2022,Medium,22.5,2.6006607827795554
162,7,SW16,2018,High,27.0,-0.9289073592432908
163,7,SW16,2019,High,27.0,33.6223105921682
164,7,SW16,2020,High,27.0,55.211226965276445
165,7,SW16,2022,High,27.0,25.531985105047397
166,7,Y10,2018,High,16.9,9.079799158285663
167,7,Y10,2019,High,16.9,0.5064616934753547
168,7,Y10,2020,High,16.9,20.736724973942085
169,7,Y10,2022,High,16.9,-5.375520685124827
170,7,Y8,2018,Low,3.4,-1.5722357874475728
171,7,Y8,2019,Low,3.4,-3.766148569897369
172,7,Y8,2020,Low,3.4,31.524822002816222
173,7,Y8,2022,Low,3.4,53.97326402219718
174,8,6-12,2018,High,28.2,-3.7609489538503373
175,8,6-12,2019,High,28.2,2.516222288198003
176,8,6-12,2020,High,28.2,21.980895695987343
177,8,6-12,2022,High,28.2,13.185125757738577
178,9,SW16,2018,Medium,18.0,-0.797898660056366
179,9,SW16,2019,Medium,18.0,15.984131983302914
180,9,SW16,2020,Medium,18.0,30.588789820854164
181,9,SW16,2022,Medium,18.0,3.8899794479573733
182,9,Y10,2018,Medium,11.3,5.059022671636683
183,9,Y10,2019,Medium,11.3,-2.674455205768181
184,9,Y10,2020,Medium,11.3,10.789508593452018
185,9,Y10,2022,Medium,11.3,29.360775764811457
